Script,strike_price
AXISBANK25SEP_1040CE,1040
NHPC25SEP_77CE,77
KAYNES25SEP_6000CE,6000
HINDALCO25SEP_710CE,710
PERSISTENT25SEP_5000PE,5000
PERSISTENT25SEP_5300PE,5300
TCS25SEP_3120PE,3120
VBL25SEP_460PE,460
PAGEIND25SEP_42000PE,42000
MUTHOOTFIN25SEP_2500CE,2500
UNIONBANK25SEP_135CE,135
ADANIGREEN25SEP_980CE,980
NMDC25SEP_69CE,69
MAXHEALTH25SEP_1280PE,1280
YESBANK25SEP_19CE,19
AXISBANK25SEP_1120CE,1120
YESBANK25SEP_20CE,20
JSWSTEEL25SEP_1000CE,1000
INDIANB25SEP_640CE,640
VBL25SEP_480PE,480
LTF25SEP_205CE,205
VEDL25SEP_420CE,420
DALBHARAT25SEP_2340PE,2340
BAJAJFINSV25SEP_1880CE,1880
NMDC25SEP_68CE,68
BEL25SEP_365CE,365
EICHERMOT25SEP_5750CE,5750
HINDUNILVR25SEP_2600PE,2600
MOTHERSON25SEP_90CE,90
HUDCO25SEP_210CE,210
HINDZINC25SEP_400CE,400
UNIONBANK25SEP_125CE,125
HAL25SEP_4400CE,4400
DABUR25SEP_510PE,510
ASIANPAINT25SEP_2540PE,2540
ADANIPORTS25SEP_1280CE,1280
TATASTEEL25SEP_152.5CE,152.5
MARUTI25SEP_14700CE,14700
AMBER25SEP_7500CE,7500
BANKBARODA25SEP_225CE,225
PAGEIND25SEP_42500PE,42500
BHEL25SEP_200CE,200
PAGEIND25SEP_44000PE,44000
HAL25SEP_4600CE,4600
IDEA25SEP_6CE,6
TCS25SEP_3140PE,3140
BHARATFORG25SEP_1080CE,1080
PIIND25SEP_4050PE,4050
TRENT25SEP_5500PE,5500
CIPLA25SEP_1560PE,1560
NHPC25SEP_76CE,76
SBICARD25SEP_750CE,750
DIVISLAB25SEP_6200PE,6200
AMBER25SEP_7300CE,7300
ASIANPAINT25SEP_2560PE,2560
DABUR25SEP_505PE,505
AMBER25SEP_7000CE,7000
CROMPTON25SEP_345PE,345
CROMPTON25SEP_350PE,350
TITAN25SEP_3750PE,3750
MOTHERSON25SEP_87.5CE,87.5
PNB25SEP_98CE,98
UNIONBANK25SEP_122.5CE,122.5
ADANIGREEN25SEP_900CE,900
BAJFINANCE25SEP_830CE,830
VEDL25SEP_414CE,414
HINDUNILVR25SEP_2580PE,2580
EICHERMOT25SEP_5700CE,5700
AXISBANK25SEP_1030CE,1030
NATIONALUM25SEP_170CE,170
SBIN25SEP_780CE,780
MARUTI25SEP_14600CE,14600
HINDUNILVR25SEP_2640PE,2640
HINDUNILVR25SEP_2620PE,2620
PERSISTENT25SEP_5400PE,5400
BHARATFORG25SEP_1180CE,1180
CIPLA25SEP_1580PE,1580
DALBHARAT25SEP_2300PE,2300
JSWENERGY25SEP_510CE,510
ADANIENT25SEP_2200CE,2200
MUTHOOTFIN25SEP_2450CE,2450
EICHERMOT25SEP_7000CE,7000
BHARATFORG25SEP_1120CE,1120
HINDALCO25SEP_700CE,700
HINDUNILVR25SEP_2560PE,2560
HUDCO25SEP_205CE,205
PAGEIND25SEP_41500PE,41500
DALBHARAT25SEP_2380PE,2380
VBL25SEP_490PE,490
DABUR25SEP_515PE,515
MARUTI25SEP_15800CE,15800
JSWENERGY25SEP_500CE,500
HINDUNILVR25SEP_2660PE,2660
PNB25SEP_97CE,97
TCS25SEP_2920PE,2920
TCS25SEP_3160PE,3160
NATIONALUM25SEP_175CE,175
ASIANPAINT25SEP_2580PE,2580
UPL25SEP_700PE,700
NHPC25SEP_75CE,75
ASHOKLEY25SEP_122.5CE,122.5
TITAGARH25SEP_820CE,820
BHARATFORG25SEP_1160CE,1160
MARUTI25SEP_14500CE,14500
HAL25SEP_4300CE,4300
DABUR25SEP_520PE,520
UPL25SEP_690PE,690
HINDUNILVR25SEP_2760PE,2760
HINDZINC25SEP_480CE,480
UPL25SEP_680PE,680
COFORGE25SEP_1700PE,1700
COFORGE25SEP_1680PE,1680
TATASTEEL25SEP_150CE,150
BEL25SEP_360CE,360
SAIL25SEP_110CE,110
JINDALSTEL25SEP_900CE,900
PAGEIND25SEP_45000PE,45000
IOC25SEP_149.5CE,149.5
DALBHARAT25SEP_2360PE,2360
JSWSTEEL25SEP_980CE,980
PNB25SEP_96CE,96
BPCL25SEP_300CE,300
LTF25SEP_200CE,200
TRENT25SEP_5600PE,5600
HINDUNILVR25SEP_2680PE,2680
SAMMAANCAP25SEP_110CE,110
UPL25SEP_710PE,710
HINDALCO25SEP_750CE,750
TCS25SEP_3180PE,3180
EICHERMOT25SEP_5550CE,5550
CIPLA25SEP_1540PE,1540
VEDL25SEP_410CE,410
NMDC25SEP_67CE,67
ICICIBANK25SEP_1390PE,1390
CIPLA25SEP_1600PE,1600
COFORGE25SEP_1720PE,1720
PFC25SEP_390CE,390
PAGEIND25SEP_43500PE,43500
BEL25SEP_355CE,355
MUTHOOTFIN25SEP_2400CE,2400
MARUTI25SEP_14400CE,14400
ASIANPAINT25SEP_2600PE,2600
CHOLAFIN25SEP_1360CE,1360
JSWENERGY25SEP_490CE,490
BPCL25SEP_305CE,305
ICICIBANK25SEP_1400PE,1400
MPHASIS25SEP_3050PE,3050
ASHOKLEY25SEP_120CE,120
TATACHEM25SEP_880CE,880
KALYANKJIL25SEP_490PE,490
SBIN25SEP_770CE,770
DALBHARAT25SEP_2400PE,2400
PNB25SEP_112CE,112
HINDUNILVR25SEP_2700PE,2700
TECHM25SEP_1460PE,1460
IOC25SEP_132CE,132
COFORGE25SEP_1660PE,1660
NMDC25SEP_66CE,66
PIIND25SEP_4150PE,4150
ASIANPAINT25SEP_2380PE,2380
TECHM25SEP_1480PE,1480
HUDCO25SEP_200CE,200
PERSISTENT25SEP_5500PE,5500
DIVISLAB25SEP_6300PE,6300
SBICARD25SEP_760CE,760
VEDL25SEP_404CE,404
RVNL25SEP_330CE,330
CIPLA25SEP_1620PE,1620
VBL25SEP_500PE,500
TCS25SEP_3200PE,3200
TRENT25SEP_5700PE,5700
GLENMARK25SEP_1720CE,1720
DABUR25SEP_525PE,525
JINDALSTEL25SEP_940CE,940
MARUTI25SEP_14300CE,14300
UPL25SEP_720PE,720
BHARATFORG25SEP_1100CE,1100
COFORGE25SEP_1740PE,1740
KPITTECH25SEP_1160PE,1160
NHPC25SEP_85CE,85
BAJFINANCE25SEP_820CE,820
KALYANKJIL25SEP_500PE,500
ADANIPORTS25SEP_1340CE,1340
ICICIBANK25SEP_1380PE,1380
AXISBANK25SEP_1020CE,1020
JSWENERGY25SEP_480CE,480
HINDPETRO25SEP_350CE,350
ASIANPAINT25SEP_2620PE,2620
ICICIBANK25SEP_1410PE,1410
DABUR25SEP_500PE,500
MPHASIS25SEP_2950PE,2950
KAYNES25SEP_5600CE,5600
HAL25SEP_4200CE,4200
AMBER25SEP_7200CE,7200
PNB25SEP_95CE,95
HEROMOTOCO25SEP_5200CE,5200
TATASTEEL25SEP_147.5CE,147.5
ADANIGREEN25SEP_1000CE,1000
MARUTI25SEP_13400CE,13400
YESBANK25SEP_18CE,18
HINDUNILVR25SEP_2720PE,2720
BANKBARODA25SEP_227.5CE,227.5
VEDL25SEP_400CE,400
COFORGE25SEP_1760PE,1760
ADANIPORTS25SEP_1360CE,1360
TITAN25SEP_3800PE,3800
BANKINDIA25SEP_105CE,105
HEROMOTOCO25SEP_5250CE,5250
JSWSTEEL25SEP_1010CE,1010
UNIONBANK25SEP_127.5CE,127.5
HINDALCO25SEP_680CE,680
SYNGENE25SEP_730PE,730
LTF25SEP_197.5CE,197.5
GODREJCP25SEP_1240PE,1240
MANAPPURAM25SEP_255CE,255
BANKBARODA25SEP_257.5CE,257.5
KALYANKJIL25SEP_480PE,480
BRITANNIA25SEP_5550CE,5550
TECHM25SEP_1500PE,1500
DABUR25SEP_530PE,530
DALBHARAT25SEP_2420PE,2420
EICHERMOT25SEP_5500CE,5500
IOC25SEP_130CE,130
PNBHOUSING25SEP_680CE,680
TATASTEEL25SEP_167.5CE,167.5
BAJFINANCE25SEP_800CE,800
PAGEIND25SEP_46000PE,46000
ADANIPORTS25SEP_1320CE,1320
DABUR25SEP_535PE,535
CROMPTON25SEP_360PE,360
BHARATFORG25SEP_1040CE,1040
SAIL25SEP_112.5CE,112.5
NATIONALUM25SEP_165CE,165
DIVISLAB25SEP_6400PE,6400
KPITTECH25SEP_1180PE,1180
PFC25SEP_380CE,380
TCS25SEP_3220PE,3220
SBICARD25SEP_740CE,740
TATACONSUM25SEP_1070CE,1070
CIPLA25SEP_1640PE,1640
ICICIBANK25SEP_1420PE,1420
IREDA25SEP_125CE,125
KALYANKJIL25SEP_510PE,510
COFORGE25SEP_1640PE,1640
PERSISTENT25SEP_5600PE,5600
AMBER25SEP_7100CE,7100
BSE25SEP_2750PE,2750
HEROMOTOCO25SEP_5050CE,5050
COFORGE25SEP_1780PE,1780
CANBK25SEP_92CE,92
HINDUNILVR25SEP_2740PE,2740
EICHERMOT25SEP_5600CE,5600
SBIN25SEP_760CE,760
KPITTECH25SEP_1200PE,1200
MARUTI25SEP_14200CE,14200
TATACONSUM25SEP_1080CE,1080
BEL25SEP_345CE,345
ADANIPORTS25SEP_1300CE,1300
DELHIVERY25SEP_410CE,410
HEROMOTOCO25SEP_5300CE,5300
UPL25SEP_730PE,730
KALYANKJIL25SEP_520PE,520
TITAGARH25SEP_800CE,800
VBL25SEP_510PE,510
BRITANNIA25SEP_5200CE,5200
AXISBANK25SEP_1000CE,1000
SAMMAANCAP25SEP_115CE,115
ASHOKLEY25SEP_117.5CE,117.5
PNB25SEP_101CE,101
BEL25SEP_350CE,350
JSWENERGY25SEP_470CE,470
ADANIENSOL25SEP_860CE,860
MARUTI25SEP_14100CE,14100
TCS25SEP_3240PE,3240
IREDA25SEP_130CE,130
PFC25SEP_370CE,370
GODREJCP25SEP_1220PE,1220
MOTHERSON25SEP_85CE,85
GMRAIRPORT25SEP_82CE,82
INDHOTEL25SEP_760PE,760
IOC25SEP_134.5CE,134.5
HEROMOTOCO25SEP_5100CE,5100
TECHM25SEP_1520PE,1520
DIXON25SEP_14500CE,14500
ICICIBANK25SEP_1430PE,1430
BHEL25SEP_195CE,195
HUDCO25SEP_190CE,190
INDHOTEL25SEP_770PE,770
CIPLA25SEP_1660PE,1660
TRENT25SEP_5800PE,5800
TATACONSUM25SEP_1060CE,1060
KPITTECH25SEP_1140PE,1140
SAIL25SEP_105CE,105
TECHM25SEP_1440PE,1440
RECLTD25SEP_330CE,330
DIVISLAB25SEP_5800PE,5800
LICI25SEP_850CE,850
HEROMOTOCO25SEP_5000CE,5000
CANBK25SEP_101CE,101
KPITTECH25SEP_1240PE,1240
COFORGE25SEP_1800PE,1800
ICICIBANK25SEP_1370PE,1370
HAL25SEP_4100CE,4100
ADANIENSOL25SEP_700CE,700
TATAELXSI25SEP_6400PE,6400
TATASTEEL25SEP_145CE,145
M&M25SEP_3200CE,3200
HEROMOTOCO25SEP_4950CE,4950
TATAELXSI25SEP_6600PE,6600
LICI25SEP_860CE,860
LTIM25SEP_4800CE,4800
MANAPPURAM25SEP_265CE,265
ADANIENT25SEP_2100CE,2100
INDIANB25SEP_600CE,600
TCS25SEP_3260PE,3260
ASHOKLEY25SEP_115CE,115
KALYANKJIL25SEP_530PE,530
TATACONSUM25SEP_1090CE,1090
SYNGENE25SEP_710PE,710
PERSISTENT25SEP_5700PE,5700
DABUR25SEP_540PE,540
INDHOTEL25SEP_750PE,750
NBCC25SEP_100CE,100
M&M25SEP_3300CE,3300
MARUTI25SEP_14000CE,14000
HINDALCO25SEP_670CE,670
ICICIBANK25SEP_1440PE,1440
NMDC25SEP_65CE,65
BHEL25SEP_185CE,185
VEDL25SEP_464CE,464
IREDA25SEP_120CE,120
HINDUNILVR25SEP_2780PE,2780
DALBHARAT25SEP_2500PE,2500
HEROMOTOCO25SEP_5150CE,5150
COFORGE25SEP_1820PE,1820
NYKAA25SEP_202.5CE,202.5
UPL25SEP_740PE,740
LICI25SEP_840CE,840
JIOFIN25SEP_315PE,315
MANAPPURAM25SEP_270CE,270
UPL25SEP_670PE,670
KPITTECH25SEP_1320PE,1320
NMDC25SEP_64CE,64
GODREJCP25SEP_1280PE,1280
M&M25SEP_3250CE,3250
BANKINDIA25SEP_122.5CE,122.5
TATACONSUM25SEP_1100CE,1100
PAGEIND25SEP_47000PE,47000
SBIN25SEP_750CE,750
CANBK25SEP_98CE,98
MARUTI25SEP_13900CE,13900
NATIONALUM25SEP_160CE,160
JIOFIN25SEP_310PE,310
BEL25SEP_400CE,400
CROMPTON25SEP_370PE,370
VBL25SEP_520PE,520
INDHOTEL25SEP_780PE,780
DALBHARAT25SEP_2280PE,2280
HCLTECH25SEP_1460PE,1460
BANKBARODA25SEP_220CE,220
HINDALCO25SEP_660CE,660
EICHERMOT25SEP_5400CE,5400
PIIND25SEP_3750PE,3750
COLPAL25SEP_2340PE,2340
BANKBARODA25SEP_215CE,215
UPL25SEP_750PE,750
MARUTI25SEP_13600CE,13600
KALYANKJIL25SEP_570PE,570
LTF25SEP_195CE,195
SONACOMS25SEP_460PE,460
CANBK25SEP_90CE,90
IDEA25SEP_5CE,5
CANBK25SEP_99CE,99
TATACONSUM25SEP_1050CE,1050
KALYANKJIL25SEP_560PE,560
KPITTECH25SEP_1220PE,1220
HCLTECH25SEP_1480PE,1480
SONACOMS25SEP_440PE,440
FORTIS25SEP_920CE,920
PFC25SEP_400CE,400
AMBER25SEP_8000CE,8000
MOTHERSON25SEP_82.5CE,82.5
KALYANKJIL25SEP_540PE,540
HINDUNILVR25SEP_2800PE,2800
M&M25SEP_3150CE,3150
TECHM25SEP_1540PE,1540
BANKINDIA25SEP_107.5CE,107.5
MARUTI25SEP_12700CE,12700
BAJFINANCE25SEP_810CE,810
GODREJCP25SEP_1360PE,1360
GODREJCP25SEP_1260PE,1260
AUROPHARMA25SEP_980CE,980
HCLTECH25SEP_1440PE,1440
PERSISTENT25SEP_5800PE,5800
HEROMOTOCO25SEP_4900CE,4900
LICI25SEP_870CE,870
ICICIBANK25SEP_1450PE,1450
COLPAL25SEP_2380PE,2380
MANAPPURAM25SEP_240CE,240
BPCL25SEP_290CE,290
HUDCO25SEP_195CE,195
JIOFIN25SEP_320PE,320
M&M25SEP_3100CE,3100
TATASTEEL25SEP_142.5CE,142.5
COLPAL25SEP_2300PE,2300
INDHOTEL25SEP_740PE,740
BHEL25SEP_190CE,190
FORTIS25SEP_900CE,900
UNIONBANK25SEP_120CE,120
MUTHOOTFIN25SEP_2300CE,2300
COLPAL25SEP_2360PE,2360
PIIND25SEP_3700PE,3700
COFORGE25SEP_1860PE,1860
